500
5
20
4239.49	4275.38	4290.26	4326.67	4745.13
4230.77	4269.23	4284.62	4328.72	4738.97
4243.59	4271.79	4287.18	4329.74	4735.9
4262.56	4282.05	4292.31	4327.18	4743.59
4257.44	4287.18	4291.79	4328.72	4744.62
4238.46	4278.46	4286.67	4328.21	4733.33
4231.28	4267.69	4284.1	4323.08	4728.72
4243.08	4268.72	4281.54	4322.56	4730.26
4249.23	4276.92	4281.03	4323.59	4728.72
4241.03	4275.9	4284.1	4318.97	4729.23
4240.51	4270.77	4280	4313.85	4730.26
4244.1	4269.23	4270.77	4316.92	4722.05
4234.87	4266.15	4270.77	4322.05	4712.82
4227.18	4262.56	4271.28	4321.54	4707.69
4234.87	4256.41	4256.92	4316.92	4694.36
4237.95	4252.82	4250.26	4309.23	4679.49
4236.92	4258.46	4258.46	4304.1	4680
4234.87	4261.03	4257.95	4304.62	4685.64
4223.08	4248.21	4246.15	4302.56	4676.92
4212.31	4235.9	4238.46	4297.95	4666.15
4222.05	4238.46	4239.49	4299.49	4666.15
4231.28	4245.13	4242.56	4304.1	4669.23
4221.03	4242.05	4237.95	4300	4665.64
4215.9	4235.38	4232.31	4295.38	4657.95
4223.08	4242.56	4244.62	4303.08	4664.1
4229.23	4257.44	4260	4313.33	4682.56
4233.85	4263.59	4258.46	4309.74	4686.15
4227.69	4257.95	4251.79	4304.62	4672.31
4211.28	4248.72	4251.28	4304.62	4667.18
4209.23	4247.18	4252.82	4302.56	4675.9
4226.67	4251.28	4252.82	4302.05	4677.95
4230.26	4247.18	4243.08	4300	4665.13
4219.49	4243.59	4235.9	4295.38	4659.49
4218.97	4249.23	4247.69	4299.49	4670.26
4225.64	4253.85	4255.9	4310.77	4675.9
4226.67	4250.77	4247.18	4311.28	4665.13
4222.56	4244.62	4235.38	4298.46	4654.36
4220	4236.92	4229.74	4286.67	4650.77
4219.49	4236.41	4230.26	4287.69	4651.28
4223.08	4244.1	4236.41	4300	4656.92
4228.72	4251.79	4241.54	4310.26	4664.62
4228.72	4253.85	4245.64	4310.77	4668.72
4226.67	4253.33	4252.31	4306.15	4667.69
4227.69	4254.87	4250.26	4302.05	4667.69
4230.26	4254.36	4244.1	4302.56	4667.18
4224.1	4252.82	4247.18	4309.23	4663.59
4212.82	4244.62	4241.54	4307.18	4654.87
4214.87	4233.85	4224.1	4292.82	4643.59
4224.1	4231.28	4220.51	4288.72	4643.08
4222.05	4232.82	4229.74	4295.9	4647.18
4218.97	4237.95	4232.82	4296.92	4648.21
4223.59	4248.72	4238.46	4298.46	4653.85
4226.67	4253.85	4245.64	4306.67	4660
4229.23	4246.67	4242.05	4307.18	4652.82
4229.23	4241.54	4232.82	4299.49	4642.05
4227.69	4244.62	4233.33	4298.97	4642.05
4237.95	4250.77	4238.97	4303.59	4649.74
4243.59	4251.28	4239.49	4303.08	4654.36
4221.54	4245.64	4237.44	4303.08	4651.28
4205.64	4243.08	4241.54	4309.74	4653.33
4216.41	4241.03	4243.59	4311.28	4657.44
4223.08	4236.92	4231.79	4303.08	4648.72
4218.46	4236.92	4221.54	4299.49	4636.92
4220	4235.38	4223.08	4301.54	4631.79
4224.62	4233.33	4224.1	4301.54	4630.77
4223.08	4238.46	4226.15	4305.13	4640.51
4221.54	4243.08	4234.87	4312.82	4655.38
4223.08	4242.56	4244.1	4317.95	4663.08
4221.03	4247.18	4253.85	4325.13	4672.31
4213.85	4249.23	4258.97	4331.28	4678.97
4216.41	4243.08	4253.85	4328.21	4672.31
4224.1	4237.95	4245.13	4325.13	4669.74
4216.92	4235.38	4246.15	4325.13	4675.9
4209.74	4234.36	4247.69	4320	4671.79
4217.44	4236.41	4243.59	4314.36	4665.64
4216.41	4233.85	4247.69	4322.05	4670.77
4197.95	4227.18	4252.31	4331.79	4673.33
4191.79	4223.59	4244.1	4330.26	4667.18
4204.62	4222.56	4235.9	4321.54	4663.59
4212.82	4222.56	4239.49	4315.9	4663.59
4210.77	4228.72	4240.51	4315.38	4666.67
4211.79	4232.31	4240	4320.51	4669.74
4213.85	4230.77	4244.62	4325.64	4667.18
4212.82	4233.85	4245.13	4324.62	4663.08
4205.13	4235.9	4244.62	4322.05	4663.08
4194.36	4230.26	4247.69	4323.59	4667.18
4192.82	4226.67	4247.18	4318.97	4671.28
4196.92	4226.67	4235.9	4305.13	4663.08
4195.9	4221.03	4224.1	4296.92	4648.72
4202.05	4218.97	4225.64	4298.46	4647.18
4217.95	4228.72	4234.36	4304.1	4653.33
4219.49	4233.33	4238.46	4308.72	4653.85
4208.21	4232.82	4242.05	4311.79	4656.92
4209.23	4240.51	4248.72	4314.36	4665.64
4210.77	4240.51	4248.21	4313.33	4664.1
4204.62	4229.23	4240.51	4312.82	4654.87
4209.74	4230.77	4236.92	4314.87	4652.31
4215.9	4236.41	4238.46	4312.82	4653.85
4205.64	4227.69	4238.46	4309.74	4654.36
4198.97	4221.03	4236.41	4309.74	4652.31
4207.69	4226.67	4235.9	4311.79	4647.69
4207.18	4232.82	4237.95	4314.36	4650.77
4202.05	4235.38	4241.03	4314.87	4659.49
4217.44	4238.97	4242.05	4311.79	4657.95
4232.82	4243.08	4242.05	4309.74	4655.9
4226.67	4245.13	4243.08	4311.79	4661.54
4218.46	4245.64	4243.08	4316.92	4661.03
4222.56	4245.13	4241.54	4320	4653.85
4220	4240.51	4238.46	4312.31	4648.21
4207.18	4233.85	4231.28	4306.15	4642.56
4206.67	4230.26	4226.67	4307.69	4639.49
4226.15	4234.36	4233.85	4309.74	4645.13
4232.31	4242.05	4237.44	4308.21	4649.74
4214.36	4236.92	4229.74	4302.05	4646.15
4208.21	4225.64	4227.69	4303.08	4644.62
4221.54	4232.82	4239.49	4314.36	4652.82
4220.51	4243.08	4248.21	4322.56	4661.03
4208.21	4240	4244.62	4317.95	4658.97
4214.36	4239.49	4242.05	4313.33	4656.92
4224.1	4244.1	4243.08	4315.9	4656.41
4215.38	4236.41	4236.41	4312.31	4645.13
4205.13	4223.08	4227.18	4302.05	4634.87
4216.41	4223.08	4227.18	4297.95	4635.38
4225.13	4232.82	4231.79	4303.08	4637.95
4222.05	4239.49	4234.36	4306.67	4642.05
4224.1	4240.51	4237.44	4305.64	4644.1
4214.87	4235.38	4235.38	4305.13	4641.54
4191.28	4226.67	4228.72	4305.64	4635.9
4190.77	4223.08	4223.59	4305.13	4627.69
4208.21	4223.59	4223.08	4304.1	4626.15
4209.74	4222.05	4223.59	4303.08	4632.82
4210.26	4225.13	4226.15	4303.08	4634.36
4225.64	4232.31	4234.87	4309.74	4638.97
4228.21	4237.44	4244.62	4318.97	4651.79
4210.77	4234.87	4239.49	4313.33	4648.21
4203.59	4224.1	4226.67	4301.54	4632.82
4211.28	4224.1	4227.69	4305.64	4633.85
4214.87	4234.36	4238.46	4316.41	4645.13
4210.26	4234.87	4237.44	4314.36	4644.1
4205.64	4227.69	4232.31	4305.64	4635.38
4210.77	4229.23	4237.44	4306.67	4638.97
4224.1	4238.46	4242.05	4317.44	4649.23
4226.15	4242.56	4242.05	4323.59	4652.82
4213.85	4231.79	4230.77	4315.9	4644.62
4206.67	4218.46	4208.21	4306.15	4629.23
4207.69	4218.46	4194.36	4303.59	4621.03
4214.36	4227.18	4194.36	4301.03	4624.62
4222.05	4233.33	4194.87	4300	4625.64
4222.56	4231.28	4192.31	4302.56	4618.97
